Origen,Nombre,Nombre_API,Tipo,Formato,Definicion
User Group,User Type,ga:userType,Dimension,String,"A boolean, either New Visitor or Returning Visitor, indicating if the users are new or returning."
User Group,Count of Sessions,ga:sessionCount,Dimension,String,"The session index for a user. Each session from a unique user will get its own incremental index starting from 1 for the first session. Subsequent sessions do not change previous session indices. For example, if a user has 4 sessions to the website, sessionCount for that user will have 4 distinct values of '1' through '4'."
User Group,Days Since Last Session,ga:daysSinceLastSession,Dimension,String,"The number of days elapsed since users last visited the property, used to calculate user loyalty."
User Group,User Defined Value,ga:userDefinedValue,Dimension,String,The value provided when defining custom user segments for the property.
User Group,User Bucket,ga:userBucket,Dimension,String,Randomly assigned users tag to allow A/B testing and splitting of remarketing lists. Ranges from 1-100.
User Group,Count of Sessions,ga:visitCount,Dimension,String,"DEPRECATED The session index for a user. Each session from a unique user will get its own incremental index starting from 1 for the first session. Subsequent sessions do not change previous session indices. For example, if a user has 4 sessions to the website, sessionCount for that user will have 4 distinct values of '1' through '4'."
User Group,Users,ga:users,Metrica,Integer,The total number of users for the requested time period.
User Group,New Users,ga:newUsers,Metrica,Integer,The number of sessions marked as a user's first sessions.
User Group,% New Sessions,ga:percentNewSessions,Metrica,Percent,The percentage of sessions by users who had never visited the property before.
User Group,1 Day Active Users,ga:1dayUsers,Metrica,Integer,"Total number of 1-day active users for each day in the requested time period. At least one of ga:nthDay, ga:date, or ga:day must be specified as a dimension to query this metric. For a given date, the returned value will be the total number of unique users for the 1-day period ending on the given date."
User Group,7 Day Active Users,ga:7dayUsers,Metrica,Integer,"Total number of 7-day active users for each day in the requested time period. At least one of ga:nthDay, ga:date, or ga:day must be specified as a dimension to query this metric. For a given date, the returned value will be the total number of unique users for the 7-day period ending on the given date."
User Group,14 Day Active Users,ga:14dayUsers,Metrica,Integer,"Total number of 14-day active users for each day in the requested time period. At least one of ga:nthDay, ga:date, or ga:day must be specified as a dimension to query this metric. For a given date, the returned value will be the total number of unique users for the 14-day period ending on the given date."
User Group,28 Day Active Users,ga:28dayUsers,Metrica,Integer,"Total number of 28-day active users for each day in the requested time period. At least one of ga:nthDay, ga:date, or ga:day must be specified as a dimension to query this metric. For a given date, the returned value will be the total number of unique users for the 28-day period ending on the given date."
User Group,30 Day Active Users,ga:30dayUsers,Metrica,Integer,"Total number of 30-day active users for each day in the requested time period. At least one of ga:nthDay, ga:date, or ga:day must be specified as a dimension to query this metric. For a given date, the returned value will be the total number of unique users for the 30-day period ending on the given date."
User Group,Number of Sessions per User,ga:sessionsPerUser,Metrica,Float,The total number of sessions divided by the total number of users.
Session Group,Session group,ga:sessionDurationBucket,Dimension,String,The length (returned as a string) of a session measured in seconds and reported in second increments.
Session Group,Session,ga:sessions,Metrica,Integer,The total number of sessions.
Session Group,Bounces,ga:bounces,Metrica,Percent,The total number of single page (or single interaction hit) sessions for the property.
Session Group,Bounce Rate,ga:bounceRate,Metrica,Percent,"The percentage of single-page session (i.e., session in which the person left the property from the first page)."
Session Group,Session Duration,ga:sessionDuration,Metrica,Time,Total duration (in seconds) of users' sessions.
Session Group,Avg. Session Duration,ga:avgSessionDuration,Metrica,Time,The average duration (in seconds) of users' sessions.
Session Group,Unique Dimension Combinations,ga:uniqueDimensionCombinations,Metrica,Integer,"Unique Dimension Combinations counts the number of unique dimension-value combinations for each dimension in a report. This lets you build combined (concatenated) dimensions post-processing, which allows for more flexible reporting without having to update your tracking implementation or use additional custom-dimension slots. For more information, see https://support.google.com/analytics/answer/7084499."
